last_name,first_name,name,team,player_id,year,AB,PA,BB.,AVG,SLG,OBP,CSSB.,SB.,HBP.,SacBunt.,SacFly.,SweetSpot.,Barrel.,SolidContact.,Flare.Burner.,Under.,Topped.,Poor.Weak.,HardHit.,OutofZoneContact.,InZoneContact.,Whiff.,StraightAway.,Popup.,SprintSpeed
Dickerson, Corey,Corey Dickerson,MIA,572816,2021,0.620629644,0.561122084,-0.19241664,0.847993217,0.495645101,0.609811081,0.629235659,0.286765878,-0.181169676,-0.702738134,1.1501875,-0.206733387,-0.61854606,0.621746899,0.274116974,-0.071084429,0.517385378,-0.458029983,0.150560612,1.525830075,-0.093045322,-0.437215878,-0.230799545,0.211458405,0.265808383
Garneau, Dustin,Dustin Garneau,DET,572863,2021,-0.845893053,-0.851766179,-0.768584278,0.042963067,1.698206949,-0.241485249,-0.629532178,-0.57571644,0.271882945,-0.702738134,1.1501875,0.195855899,0.912017978,0.287875024,-1.163973907,1.351633115,-1.09301786,0.161850669,0.7679413,-0.08370753,-0.330827813,0.617095325,-1.011353219,1.318300092,-0.247573507
Ruf, Darin,Darin Ruf,SF,573131,2021,0.224561471,0.308990508,1.704135167,0.847993217,1.267231027,1.270685864,-0.289461373,-0.290926857,-0.083654013,-0.702738134,1.1501875,1.124047862,1.551367512,1.392220457,0.207538692,-0.740598567,-0.113194203,-0.630219053,1.670266921,0.041710984,0.589287042,-0.355213896,-0.052387277,-0.725099945,-0.475743236
Stroman, Marcus,Marcus Stroman,NYM,573186,2021,-0.904768051,-0.899338174,-0.168409655,-1.435125078,-1.388136752,-1.305605662,0.885087956,1.326893343,-0.755223947,1.74447806,-1.024238431,-0.463943208,-1.19977291,-1.38148435,-1.124026938,-0.771982042,-0.607956644,2.9513136,-1.622430081,-0.731703189,-2.036658725,0.956817823,1.040387866,-0.022681182,-1.502507016
Yastrzemski, Mike,Mike Yastrzemski,SF,573262,2021,1.32712963,1.355574406,0.479778937,0.227724085,0.836255105,0.430590801,-0.299276658,-0.160861672,0.426335121,-0.090934086,0.606581017,0.21822197,0.795772608,0.570381995,-0.245193622,0.891342145,-0.811682355,-0.50107725,0.427590408,0.550352738,0.24812086,-0.448930447,-0.476116414,0.232743823,0.322850815
Contreras, Willson,Willson Contreras,CHC,575929,2021,1.032754636,1.122471629,0.767862756,0.399287887,0.704181838,0.766628826,0.116710158,-0.054937553,1.269218653,-0.702738134,1.1501875,-0.083719994,0.950766434,0.929936322,-0.271824935,-0.573220032,0.449476807,-0.466639436,1.155783014,-0.773509361,-0.103383692,0.757670152,0.02566809,-0.448389523,0.493978112
Iglesias, Jose,Jose Iglesias,LAA,578428,2021,1.407413719,1.255673216,-0.840605232,0.847993217,0.377474284,0.419389533,-0.025886529,-0.034089762,0.064853593,-0.702738134,1.1501875,0.520163934,-0.541049147,-0.636693244,0.886637164,0.274133799,-0.142297876,-0.251403099,-0.411414117,1.295896131,1.178574085,-1.0698026,0.772769463,-0.043966599,0.893275137
Torreyes, Ronald,Ronald Torreyes,PHI,591720,2021,0.524288737,0.461220893,-0.504507444,0.465273965,0.064669179,0.116955311,-0.208440044,-0.22307621,-0.552191166,1.336608693,-0.661834109,-0.050170887,-1.122275996,-0.302821369,0.074382129,0.514740442,0.090531507,0.101584494,-1.559108985,1.560668551,1.292296145,-1.632101908,0.014517323,0.062460486,0.094681086
Valera, Breyvic,Breyvic Valera,TOR,591971,2021,-0.712086237,-0.713807392,0.143681149,0.610443336,0.134181425,0.419389533,-0.175242154,-0.005054117,-0.755223947,0.520869963,0.062974534,0.330052327,-1.19977291,-0.7137406,0.913268477,1.016876046,-0.549749298,-0.10504239,-1.131691586,2.236534991,1.48872516,-2.522409146,0.036818857,0.211458405,0.094681086
Bryant, Kris,Kris Bryant,CHC,592178,2021,1.567981898,1.612463181,0.719848786,0.768809923,1.003084494,0.912245304,0.160368234,0.251153294,0.317454282,-0.702738134,1.1501875,0.643177327,0.795772608,0.185145217,0.393957881,0.315978432,-0.695267663,-0.346107087,0.482996367,-0.292738388,0.454888243,-0.003776828,0.170628058,-0.10782285,0.665105409
